"","G","P","Tm","Partidos"
"1",56,17,"MIL",73
"2",53,19,"TOR",72
"3",48,24,"BOS",72
"4",45,28,"IND",73
"5",44,29,"MIA",73
"6",43,30,"PHI",73
"7",35,37,"BRK",72
"8",33,40,"ORL",73
"9",25,47,"WAS",72
"10",21,45,"NYK",66
"11",22,43,"CHI",65
"12",20,46,"DET",66
"13",19,46,"CLE",65
"14",23,42,"CHO",65
"15",20,47,"ATL",67
"16",52,19,"LAL",71
"17",49,23,"LAC",72
"18",46,27,"DEN",73
"19",44,28,"HOU",72
"20",44,28,"OKC",72
"21",44,28,"UTA",72
"22",43,32,"DAL",75
"23",35,39,"POR",74
"24",34,39,"MEM",73
"25",34,39,"PHO",73
"26",32,39,"SAS",71
"27",31,41,"SAC",72
"28",30,42,"NOP",72
"29",19,45,"MIN",64
"30",15,50,"GSW",65
